file_name,streetview_id,streetview,date,Time,Date_and_time,Camera_manufacturer_and_model,Camera_manufacturer,latitude,longitude,altitude,GPS_date_time,Track_ID,ID,Distance,Direction,heading
gopro,1,GSAB0028.JPG,2022:08:13,13:07:26,2022:08:13 13:07:26,GoPro GoPro Max,GoPro,28.360523,75.591606,249.81,2022:08:13 7:37:20.00,1,2020,2.799667287,SE,126.5431366
gopro,2,GSAB0029.JPG,2022:08:13,13:07:28,2022:08:13 13:07:28,GoPro GoPro Max,GoPro,28.360508,75.591629,246.38,2022:08:13 7:37:22.00,2,2021,3.35828,SE,115.48
gopro,3,GSAB0030.JPG,2022:08:13,13:07:30,2022:08:13 13:07:30,GoPro GoPro Max,GoPro,28.360495,75.59166,245.38,2022:08:13 7:37:24.00,3,2022,4.74642,E,112.001
gopro,4,GSAB0031.JPG,2022:08:13,13:07:32,2022:08:13 13:07:32,GoPro GoPro Max,GoPro,28.360479,75.591705,243.84,2022:08:13 7:37:26.00,4,2023,5.39658,E,78.1159
gopro,5,GSAB0032.JPG,2022:08:13,13:07:34,2022:08:13 13:07:34,GoPro GoPro Max,GoPro,28.360489,75.591759,245.53,2022:08:13 7:37:28.00,5,2024,6.04874,E,80.482
gopro,6,GSAB0033.JPG,2022:08:13,13:07:36,2022:08:13 13:07:36,GoPro GoPro Max,GoPro,28.360498,75.59182,248.12,2022:08:13 7:37:30.00,6,2025,7.55109,E,79.8276
gopro,7,GSAB0034.JPG,2022:08:13,13:07:38,2022:08:13 13:07:38,GoPro GoPro Max,GoPro,28.36051,75.591896,249.26,2022:08:13 7:37:32.00,7,2026,6.82156,E,81.5687
gopro,8,GSAB0035.JPG,2022:08:13,13:07:40,2022:08:13 13:07:40,GoPro GoPro Max,GoPro,28.360519,75.591965,249.82,2022:08:13 7:37:34.00,8,2027,6.06811,E,79.4471
gopro,9,GSAB0036.JPG,2022:08:13,13:07:42,2022:08:13 13:07:42,GoPro GoPro Max,GoPro,28.360529,75.592026,250.31,2022:08:13 7:37:36.00,9,2028,6.17019,NE,46.8092
gopro,10,GSAB0037.JPG,2022:08:13,13:07:44,2022:08:13 13:07:44,GoPro GoPro Max,GoPro,28.360567,75.592072,250.76,2022:08:13 7:37:38.00,10,2029,5.15776,N,7.62707
gopro,11,GSAB0038.JPG,2022:08:13,13:07:46,2022:08:13 13:07:46,GoPro GoPro Max,GoPro,28.360613,75.592079,251.14,2022:08:13 7:37:40.00,11,2030,6.37148,N,353.832
gopro,12,GSAB0039.JPG,2022:08:13,13:07:48,2022:08:13 13:07:48,GoPro GoPro Max,GoPro,28.36067,75.592072,252.33,2022:08:13 7:37:42.00,12,2031,6.32987,NW,331.384
gopro,13,GSAB0040.JPG,2022:08:13,13:07:50,2022:08:13 13:07:50,GoPro GoPro Max,GoPro,28.36072,75.592041,254.04,2022:08:13 7:37:44.00,13,2032,5.82911,NW,297.23
gopro,14,GSAB0041.JPG,2022:08:13,13:07:52,2022:08:13 13:07:52,GoPro GoPro Max,GoPro,28.360744,75.591988,254.11,2022:08:13 7:37:46.00,14,2033,5.32283,W,277.196
gopro,15,GSAB0042.JPG,2022:08:13,13:07:54,2022:08:13 13:07:54,GoPro GoPro Max,GoPro,28.36075,75.591934,253.94,2022:08:13 7:37:48.00,15,2034,5.982,W,274.262
